한글,日本語,예문,例文
(으)ㄴ 채(로),〜のまま,버스 안에서 앉은 채로 잠자버렸다.,バスの中で座ったまま寝てしまった。
(으)ㄴ/는 걸 보니(까),〜をみると,돈을 많이 쓰는 걸 보니 부자인가 봐.,お金を沢山使うのをみると金持ちのようだ。
(으)ㄴ/는 김에,〜ついでに,마트에 가는 김에 친정에도 갔다.,スーパーに行くついでに実家にも行った。
(으)ㄴ/는 만큼,〜ほど,웃는 만큼 인생은 행복해진다.,笑うほど人生は幸せになる。
(으)ㄴ/는 반면(에),〜の反面,택시는 편리한 반면에 지하철보다 비싸다.,タクシーは便利な反面地下鉄より高い。
(으)ㄴ/는 법이다,〜なものだ,계속 노력한다면 개선되는 법이다.,ずっと努力したら改善されるものだ。
(으)ㄴ/는 탓에,〜のせいで,운동 안 한 탓에 살이 많이 쪘어요.,運動しなかったせいでとても太りました。
(으)ㄴ/는/(으)ㄹ 모양이다,〜のようだ,비가 오는 모양이다.,雨が降るようだ。
(으)ㄴ/는/(으)ㄹ 셈이다,〜するつもりだ,어떻게 할 셈이야?,どうするつもり?
(으)ㄴ/는/(으)ㄹ 줄 몰랐다,〜とは思わなかった,공무원 시험에 합격할 줄 몰랐다.,公務員試験に合格するとは思わなかった。
(으)ㄴ/는/(으)ㄹ 줄 알았다,〜と思った,아저씨는 연예인이 될 줄 알았는데.,おじさんは芸能人になると思っていたのに。
(으)ㄴ/는/(으)ㄹ지,〜なのか,지갑을 어디서 잃어버렸는지 모르겠다.,お財布をどこでなくしてしまったのか分からない。
(으)ㄴ/는걸(요),〜だよ,아직 졸린걸요.,まだ眠たいんですよ。
(으)ㄴ/는데(요),〜ですが,이 요리는 생각보다 맛있는데요.,この料理は思ったより美味しいのですが。
(으)ㄴ/는들,〜としても,내가 간들 소용없다.,私が行ったとしても役に立たない。
(으)ㄴ가 보다,〜のようだ,그 사람은 선생님인가 봐요.,その人は先生のようです。
(으)ㄴ가(요)?,〜なのか？,여자 친구는 예쁜가요?,彼女はきれいなんですか？
(으)나 마나,〜するまでもなく,길을 물어보나 마나예요.,道を聞くまでもないです。
(으)니까(요),〜だから,열심히 공부하니까 성적이 우수하다.,一生懸命勉強するから成績が優秀だ。
(으)니만큼,〜だからこそ,노력하니만큼 결과가 기대된다.,努力したからこそ結果が期待される。
(으)ㄹ 겸 (해서),〜を兼ねて,사과할 겸 해서 편지를 썼어요.,謝罪を兼ねて手紙を書きました。
